x,y,yaw
0.74,3.1583,0.0
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1583,-1.5707963267948966
0.7401,3.1522,-1.5707963267948966
0.7401,3.1287,-1.5707963267948966
0.7401,3.0875,-1.5707963267948966
0.7401,3.0278,-1.5707963267948966
0.7401,2.9593,-1.5707963267948966
0.7401,2.9067,-1.5707963267948966
0.7401,2.8735,-1.5707963267948966
0.7401,2.8345,-1.5707963267948966
0.7402,2.7787,-1.5707963267948966
0.7402,2.7058,-1.5707963267948966
0.7402,2.6199,-1.5707963267948966
0.7402,2.5511,-1.5707963267948966
0.7402,2.4877,-1.5707963267948966
0.7402,2.4087,-1.5707963267948966
0.7402,2.3112,-1.5707963267948966
0.7402,2.1989,-1.5707963267948966
0.7402,2.0893,-1.5707963267948966
0.7402,1.9949,-1.5707963267948966
0.7402,1.8913,-1.5707963267948966
0.7402,1.7691,-1.5707963267948966
0.7402,1.6366,-1.5707963267948966
0.7402,1.5166,-1.5707963267948966
0.7402,1.3936,-1.5707963267948966
0.7402,1.252,-1.5707963267948966
0.7402,1.104,-1.5707963267948966
0.7402,0.9722,-1.5707963267948966
0.7402,0.8538,-1.5707963267948966
0.7402,0.7204,-1.5707963267948966
0.7402,0.5684,-1.5707963267948966
0.7402,0.4236,-1.5707963267948966
0.7402,0.2971,-1.5707963267948966
0.7402,0.1759,-1.5707963267948966
0.7402,0.0361,-1.5707963267948966
0.7402,-0.1165,-1.5707963267948966
0.7402,-0.2621,-1.5707963267948966
0.7402,-0.3874,-1.5707963267948966
0.7402,-0.5153,-1.5707963267948966
0.7402,-0.6592,-1.5707963267948966
0.7402,-0.8177,-1.5707963267948966
0.7402,-0.9681,-1.5707963267948966
0.7402,-1.1151,-1.5707963267948966
0.7402,-1.2512,-1.5707963267948966
0.7402,-1.4009,-1.5707963267948966
0.7402,-1.566,-1.5707963267948966
0.7402,-1.7138,-1.5707963267948966
0.7402,-1.8541,-1.5707963267948966
0.7402,-2.0126,-1.5707963267948966
0.7402,-2.1825,-1.5707963267948966
0.7402,-2.3401,-1.5707963267948966
0.7402,-2.4796,-1.5707963267948966
0.7402,-2.6187,-1.5707963267948966
0.7403,-2.7763,-1.5707963267948966
0.7403,-2.9256,-1.5707963267948966
0.7403,-3.0567,-1.5707963267948966
0.7403,-3.1655,-1.5707963267948966
0.7403,-3.2559,-1.570654812053426
0.7403,-3.3253,-1.5707963267948966
0.7403,-3.3764,-1.5707963267948966
0.7403,-3.4076,-1.5707963267948966
0.7403,-3.426,-1.5707963267948966
0.7403,-3.4592,-1.5707963267948966
0.7403,-3.5094,-1.5707963267948966
0.7403,-3.5782,-1.5707963267948966
0.7403,-3.6443,-1.5707963267948966
0.7403,-3.6919,-1.5707963267948966
0.7403,-3.7393,-1.5707963267948966
0.7403,-3.804,-1.5707963267948966
0.7403,-3.8869,-1.5707963267948966
0.7403,-3.9624,-1.5707963267948966
0.7403,-4.0196,-1.5707963267948966
0.7403,-4.0568,-1.5707963267948966
0.7404,-4.0746,-1.5707963267948966
0.7404,-4.0745,-1.573340740390966
0.7404,-4.0743,-1.5734821025732808
0.7404,-4.0741,-1.5734821447216458
0.7404,-4.0747,-1.5734849513407727
0.7404,-4.0891,-1.5736235479281424
0.7403,-4.1211,-1.573623731353842
0.7401,-4.1715,-1.5736250331242578
0.7399,-4.2398,-1.5736250331242578
0.7397,-4.3239,-1.5736249565734501
0.7394,-4.4242,-1.5736249095021357
0.7391,-4.5181,-1.5736248937177548
0.738,-4.5917,-1.578025196946692
0.7357,-4.6445,-1.6312874055040596
0.7331,-4.6781,-1.6312874055040596
0.7321,-4.69,-1.6604416046277295
0.7321,-4.6898,-1.674982838131254
0.7321,-4.6896,-1.674962531217008
0.7321,-4.6896,-1.674958019287825
0.7309,-4.701,-1.6749572839404827
0.7278,-4.7308,-1.675935920783933
0.7227,-4.7785,-1.67606854553529
0.7159,-4.8427,-1.6760686176268265
0.7072,-4.9253,-1.6760667709499841
0.6969,-5.0232,-1.6760677829433064
0.6848,-5.1375,-1.6760669716457426
0.6708,-5.2702,-1.6760665182647725
0.6542,-5.4162,-1.6766332590044637
0.6288,-5.5736,-1.703999373096136
0.5948,-5.7084,-1.7761996879904876
0.5524,-5.8199,-1.8799908732086608
0.5068,-5.906,-2.004903318720671
0.4632,-5.9739,-2.106609305128366
0.428,-6.0236,-2.193687229279398
0.403,-6.0576,-2.193687229279398
0.3888,-6.0768,-2.201016749044946
0.3837,-6.0837,-2.200782694511479
0.369,-6.1037,-2.2007274953059444
0.3437,-6.1384,-2.200772284472949
